abb,state,pctempag,unemprate,pctlandfarms
US,United States,1.900926493,8.1,40.80
AL,Alabama,1.790833679,7.3,27.90
AK,Alaska,5.314043651,7,0.20
AZ,Arizona,1.441429181,8.3,35.90
AR,Arkansas,3.35663878,7.3,41.70
CA,California,2.293894884,10.5,25.40
CO,Colorado,2.389422531,8,47.60
CT,Connecticut,0.384976062,8.4,13.10
DE,Delaware,1.092797813,7.1,40.80
DC,District of Columbia,0.112766606,8.9,0
FL,Florida,1.165525494,8.6,26.90
GA,Georgia,1.125925697,9,27.60
HI,Hawaii,1.577183925,5.8,27.30
ID,Idaho,5.433933208,7.1,21.70
IL,Illinois,1.052320085,8.9,75.40
IN,Indiana,1.442504432,8.4,64.40
IA,Iowa,3.993242284,5.2,86.00
KS,Kansas,3.492391272,5.7,88.60
KY,Kentucky,2.933775878,8.2,55.40
LA,Louisiana,4.600277254,6.4,29.30
ME,Maine,2.389553763,7.3,6.80
MD,Maryland,0.516389317,6.8,32.80
MA,Massachusetts,0.391796524,6.7,10.40
MI,Michigan,1.348145667,9.1,27.70
MN,Minnesota,2.361803425,5.6,52.90
MS,Mississippi,3.002235098,9.2,38.20
MO,Missouri,1.754049819,6.9,66.00
MT,Montana,7.114211277,6,65.90
NE,Nebraska,4.601968773,3.9,92.50
NV,Nevada,1.527884498,11.1,8.30
NH,New Hampshire,0.829523733,5.5,8.20
NJ,New Jersey,0.353747455,9.5,15.60
NM,New Mexico,4.471245755,6.9,55.70
NY,New York,0.586210492,8.5,23.80
NC,North Carolina,1.456585061,9.5,27.20
ND,North Dakota,8.756188628,3.1,89.80
OH,Ohio,1.029651853,7.2,53.40
OK,Oklahoma,4.757672496,5.2,79.90
OR,Oregon,3.413718423,8.7,26.70
PA,Pennsylvania,1.315807002,7.9,27.30
RI,Rhode Island,0.423411425,10.4,10.30
SC,South Carolina,1.038982128,9.1,25.40
SD,South Dakota,6.9426212,4.4,90.00
TN,Tennessee,1.115720135,8,41.60
TX,Texas,3.00104292,6.8,78.00
UT,Utah,2.055293107,5.7,21.10
VT,Vermont,2.713901416,5,20.90
VA,Virginia,1.054657684,5.9,32.10
WA,Washington,2.559377215,8.2,35.20
WV,West Virginia,5.233618818,7.3,24.00
WI,Wisconsin,2.448221802,6.9,43.80
WY,Wyoming,12.26774036,5.4,48.60
